longitude,latitude,altitude,path,name,utm x,utm y,heading,vx,vy,ax,ay,relative_distance,accumulated_distance,relative_proportion
-110.9573283,32.23593996,739.9987278282679 -110.9562297807308,through,beginning,504021,3566589,0.01,18,2,-1,0.1,0,0,0
-110.9562298,32.23592414,740.1379436,through,end,504125,3566587,0.01,0,0,0,0,104.019229,104.019229,1
-110.9562035,32.23608318,741.6086486,left turning,beginning,504127,3566604,3.141592654,2,-18,2,0.1,0,0,0
-110.9566018,32.236078,740.8050327,left turning,cross,504089,3566605,0,0,0,0,0,38.01315562,38.01315562,0.365826165
-110.9567104,32.2360667,739.8649438,left turning,r1,504078,3566603,0,0,0,0,0,11.18033989,49.1934955,0.473422096
-110.9568097,32.23600469,739.7656331,left turning,r2,504070,3566596,0,0,0,0,0,10.63014581,59.82364132,0.575723139
-110.9568242,32.23579121,739.4062608,left turning,r3,504068,3566573,0,0,0,0,0,23.08679276,82.91043408,0.797902875
-110.9568244,32.23560152,739.1744495,left turning,end,504068,3566552,4.71238898,0,0,0,0,21,103.9104341,1
