,id,lat,long,angle,speed,heading,width,length,timestamp,secMark
22580,8954708,27.9524365,-82.4591968,190.5,7.98,247.5625,6.9775,39863,254,1250
22581,8954708,27.9534583,-82.4585231,190.5,9.18,335.85,6.506666666666667,24152,254,1250
22582,8954708,27.95303,-82.4583272,190.5,7.94,338.25,6.504722222222222,17412,254,1250
22583,8954708,27.952572,-82.458822,190.5,4.82,247.8375,6.976111111111111,34016,254,1250
22584,8954708,27.9524225,-82.4592426,190.5,7.76,248.7125,6.977777777777778,40484,254,1250
22585,8954708,27.9526124,-82.4586949,190.5,0.32,250.15,6.974722222222223,29158,254,1250
22586,8954708,27.9525448,-82.4589006,190.5,6.0,247.2125,6.976388888888889,35544,254,1250
22588,8954708,27.9538282,-82.4578223,190.5,7.8,158.26250000000002,6.941666666666667,30232,254,1250
22589,8954708,27.953612,-82.4585985,190.5,9.86,336.1,6.507222222222222,26052,254,1250
22590,8954708,27.9526162,-82.4586807,190.5,0.22,250.15,6.954444444444444,16346,254,1250
22591,8954708,27.953398,-82.4584936,190.5,8.540000000000001,336.3125,6.506388888888889,23322,254,1250
22592,8954708,27.9524638,-82.4591206,190.5,7.84,246.76250000000002,6.977222222222222,38895,254,1250
22593,8954708,27.9529892,-82.4583097,190.5,8.0,338.07500000000005,6.504444444444444,16791,254,1250
22595,8954708,27.9523954,-82.4593263,190.5,8.18,249.925,6.978055555555556,41520,254,1250
22596,8954708,27.9525586,-82.4588613,190.5,5.46,247.63750000000002,6.976111111111111,34824,254,1250
22597,8954708,27.9525086,-82.4590004,190.5,6.98,246.4375,6.976944444444444,37112,254,1250
22598,8954708,27.9526213,-82.4586611,190.5,0.18,250.15,6.953333333333333,12482,254,1250
22599,8954708,27.9533497,-82.4584701,190.5,7.82,337.25,6.506111111111111,22699,254,1250
22600,8954708,27.9525842,-82.4587865,190.5,4.08,247.8625,6.975833333333333,33281,254,1250
22601,8954708,27.9526084,-82.458709,190.5,1.1,250.15,6.975,30552,254,1250
22602,8954708,27.9525228,-82.4589611,190.5,6.5600000000000005,246.5875,6.976666666666667,36593,254,1250
22603,8954708,27.9524513,-82.4591565,190.5,8.14,247.2125,6.9775,39291,254,1250
22604,8954708,27.9524103,-82.4592797,190.5,7.74,249.3625,6.977777777777778,40906,254,1250
22605,8954708,27.9525427,-82.4589062,190.5,6.1000000000000005,247.10000000000002,6.976388888888889,35647,254,1250
22606,8954708,27.9524822,-82.4590693,190.5,7.46,246.22500000000002,6.977222222222222,38166,254,1250
