,Unnamed: 0,timestamp_posix,temporaryId,latitude,longitude,speed,heading,length,width,position_on_map,x,y,speed_x,speed_y,accel_x,accel_y,ang_speed,radius,steering_angle,steering_angle_rate,sub_group
0,0,1623248321.807656,1768009833,33.856887,-112.1139123,20.0,29.0,4.97,184,inbound,396957.9431034924,3746846.154611891,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,1623248321.907289,1768009833,33.856903,-112.1139016,20.0,29.0,4.97,184,inbound,396958.95216914406,3746847.918024498,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
2,2,1623248322.209005,1768009833,33.8569494,-112.1138715,20.0,29.0,4.97,184,inbound,396961.7924240874,3746853.032853567,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
3,3,1623248322.507561,1768009833,33.8569967,-112.11384,20.0,29.0,4.97,184,inbound,396964.7632696151,3746858.2460756833,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
4,4,1623248322.607386,1768009833,33.857012,-112.1138299,20.0,29.0,4.97,184,inbound,396965.7159866715,3746859.932471792,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
5,5,1623248322.807432,1768009833,33.8570425,-112.1138094,20.0,29.0,4.97,184,inbound,396967.6490523799,3746863.293875333,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
6,6,1623248323.0075,1768009833,33.857074,-112.1137883,20.0,29.0,4.97,184,inbound,396969.6388231273,3746866.765561497,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
7,7,1623248323.206891,1768009833,33.8571055,-112.1137674,20.0,29.0,4.97,184,inbound,396971.61009069503,3746870.2374484586,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
8,8,1623248323.308202,1768009833,33.8571206,-112.1137573,20.0,29.0,4.97,184,inbound,396972.562565212,3746871.901668535,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
9,9,1623248323.40743,1768009833,33.8571353,-112.1137475,20.0,29.0,4.97,184,inbound,396973.4868063641,3746873.5218359134,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
10,10,1623248323.507482,1768009833,33.8571507,-112.1137372,20.0,29.0,4.97,184,inbound,396974.4581423007,3746875.2191208126,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
11,11,1623248323.609042,1768009833,33.8571668,-112.1137267,20.0,29.0,4.97,184,inbound,396975.4488203347,3746876.993823832,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
12,12,1623248323.707242,1768009833,33.8571823,-112.1137163,20.0,29.0,4.97,184,inbound,396976.4295265612,3746878.702097074,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
13,13,1623248323.907761,1768009833,33.8572137,-112.1136952,20.0,29.0,4.97,184,inbound,396978.41917098215,3746882.162696653,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
14,14,1623248324.008953,1768009833,33.8572289,-112.113685,20.0,29.0,4.97,184,inbound,396979.3810141536,3746883.837905536,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
15,15,1623248324.207147,1768009833,33.857261,-112.1136634,20.0,29.0,4.97,184,inbound,396981.41775147046,3746887.375623176,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
16,16,1623248324.307118,1768009833,33.8572765,-112.113653,20.0,29.0,4.97,184,inbound,396982.39845561737,3746889.083897007,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
17,17,1623248324.406851,1768009833,33.8572923,-112.1136426,20.0,29.0,4.97,184,inbound,396983.3795196861,3746890.8254359695,-14.961150593780006,-13.272677684259351,0.0,0.0,0.0,inf,0.0,0.0,0
