,id,lat,long,angle,speed,heading,timestamp,width,length
62,8777778,27.9563778,-82.445612,190.5,10.32,180.8375,1616113039.049,210,460
63,8777778,27.9563639,-82.4456122,190.5,10.26,180.8,1616113039.2,210,460
64,8777778,27.9563546,-82.4456124,190.5,10.22,180.78750000000002,1616113039.3,210,460
65,8777778,27.95635,-82.4456125,190.5,10.200000000000001,180.775,1616113039.35,210,460
66,8777778,27.9563357,-82.4456125,190.5,10.26,180.70000000000002,1616113039.499,210,460
67,8777778,27.9563311,-82.4456125,190.5,10.24,180.6875,1616113039.549,210,460
68,8777778,27.9563172,-82.4456127,190.5,10.200000000000001,180.675,1616113039.7,210,460
69,8777778,27.9563081,-82.4456128,190.5,10.16,180.66250000000002,1616113039.8,210,460
70,8777778,27.9563035,-82.4456129,190.5,10.120000000000001,180.65,1616113039.85,210,460
71,8777778,27.9562944,-82.445613,190.5,10.06,180.6125,1616113039.95,210,460
72,8777778,27.9562043,-82.4456147,190.5,9.18,180.425,1616113040.0,210,460
73,8777778,27.9562859,-82.4456132,190.5,9.96,180.60000000000002,1616113040.049,210,460
74,8777778,27.9562725,-82.4456133,190.5,9.88,180.5625,1616113040.2,210,460
75,8777778,27.9562636,-82.4456134,190.5,9.82,180.53750000000002,1616113040.3,210,460
76,8777778,27.9562548,-82.4456135,190.5,9.74,180.51250000000002,1616113040.4,210,460
77,8777778,27.9562465,-82.4456139,190.5,9.620000000000001,180.47500000000002,1616113040.499,210,460
78,8777778,27.9562421,-82.4456139,190.5,9.58,180.45000000000002,1616113040.549,210,460
79,8777778,27.9562293,-82.4456141,190.5,9.46,180.425,1616113040.7,210,460
80,8777778,27.9562208,-82.4456141,190.5,9.36,180.41250000000002,1616113040.8,210,460
81,8777778,27.9562166,-82.4456142,190.5,9.3,180.41250000000002,1616113040.85,210,460
82,8777778,27.9562002,-82.4456147,190.5,9.120000000000001,180.4,1616113041.049,210,460
83,8777778,27.956192,-82.4456148,190.5,9.02,180.35000000000002,1616113041.15,210,460
84,8777778,27.9561799,-82.4456149,190.5,8.86,180.26250000000002,1616113041.3,210,460
